from.id,from.type,to.id,to.type,weight
sigtrap,concept,2007-02-26.txt,source,1
passed,concept,2001-10-19.txt,source,1
functionality,concept,2004-03-10.txt,source,1
attacker,concept,2006-02-21.txt,source,2
activex,concept,2006-11-14.txt,source,1
requests,concept,2001-05-11.txt,source,1
services,concept,2008-07-08.txt,source,2
access,concept,2006-08-21.txt,source,1
files,concept,2009-11-19.txt,source,1
actions,concept,2004-10-18.txt,source,2
buffer,concept,2006-05-17.txt,source,2
web,concept,2001-11-28.txt,source,1
states,concept,2005-05-05.txt,source,1
child,concept,2002-06-17.txt,source,1
windows,concept,2008-07-07.txt,source,1
impact,concept,2007-09-20.txt,source,1
interacting,concept,2009-11-30.txt,source,1
application,concept,2006-08-08.txt,source,1
system,concept,2006-11-20.txt,source,1
disclosure,concept,2002-07-30.txt,source,2
response,concept,2001-08-10.txt,source,2
attacker,concept,2005-05-10.txt,source,2
elements,concept,2005-08-19.txt,source,1
page,concept,2009-12-14.txt,source,1
expanding,concept,2001-04-10.txt,source,2
error,concept,2007-11-01.txt,source,1
dll,concept,2007-12-21.txt,source,6
specifier,concept,2007-02-07.txt,source,1
update,concept,2007-07-19.txt,source,2
vulnerability,concept,2003-03-21.txt,source,1
